AGUERO, Elda Susana,Justicialista,Buenos Aires,AFIRMATIVO
ALARCON, María del Carmen,Justicialista,Santa Fe,AFIRMATIVO
ALESANDRI, Carlos Tomas,Justicialista,Córdoba,AFIRMATIVO
ALVAREZ, Roque Tobias,Justicialista,Tucumán,AFIRMATIVO
AMSTUTZ, Guillermo,Justicialista,Mendoza,AFIRMATIVO
BAIGORRIA, Miguel Angel,Justicialista,Tierra del Fuego,AFIRMATIVO
BASILE, Daniel Armando,Justicialista,Buenos Aires,AFIRMATIVO
BAYLAC, Juan Pablo,Union Cívica Radical,Buenos Aires,AFIRMATIVO
BECERRA, Omar Enrique,Justicialista,Tierra del Fuego,AFIRMATIVO
BIANCHI SILVESTRE, Marcela,Justicialista,Buenos Aires,AFIRMATIVO
BLANCO, Jesus Abel,Justicialista,Buenos Aires,AFIRMATIVO
BORTOLOZZI de BOGADO, Adriana Raquel,Justicialista,Formosa,AFIRMATIVO
BREARD, Noel Eugenio,Union Cívica Radical,Corrientes,AFIRMATIVO
BRIOZZO, Alberto Nicolas,Justicialista,Buenos Aires,AFIRMATIVO
BROWN, Carlos Ramón,Justicialista,Buenos Aires,AFIRMATIVO
CASANOVAS, Jorge Osvaldo,Justicialista,Buenos Aires,AFIRMATIVO
CEREZO, Octavio Nestor,Justicialista,Catamarca,AFIRMATIVO
CIGOGNA, Luis Francisco Jorge,Justicialista,Buenos Aires,AFIRMATIVO
CORREA, Juan Carlos,Justicialista,Buenos Aires,AFIRMATIVO
COTO, Alberto Agustín,Justicialista,Buenos Aires,AFIRMATIVO
CUSINATO, José Cesar,Union Cívica Radical,Entre Ríos,AFIRMATIVO
DAHER, Zulema Beatríz,Justicialista,Salta,AFIRMATIVO
DIAZ BANCALARI, José María,Justicialista,Buenos Aires,AFIRMATIVO
ESCOBAR, Jorge Alberto,Justicialista,San Juan,AFIRMATIVO
FERNANDEZ, Horacio Anibal,Justicialista,La Pampa,AFIRMATIVO
FERRARI de GRAND, Teresa Hortensia,Justicialista,Entre Ríos,AFIRMATIVO
FOGLIA, Teresa Beatriz,Union Cívica Radical,Córdoba,AFIRMATIVO
GIUBERGIA, Miguel Angel,Union Cívica Radical,Jujuy,AFIRMATIVO
GONZALEZ, Rafael Alfredo,Justicialista,Chaco,AFIRMATIVO
GOY, Beatriz Norma,Justicialista,Chaco,AFIRMATIVO
GROSSO, Edgardo Roger Miguel,Union Cívica Radical,Córdoba,AFIRMATIVO
HONCHERUK, Atlanto,Justicialista,Chaco,AFIRMATIVO
HUMADA, Julio Cesar,Justicialista,Misiones,AFIRMATIVO
JOHNSON, Guillermo,Justicialista,Córdoba,AFIRMATIVO
LEONELLI, María Silvina,Union Cívica Radical,Córdoba,AFIRMATIVO
LOFRANO, Elsa Gladi,Justicialista,Chubut,AFIRMATIVO
LOPEZ, Juan Carlos,Justicialista,Misiones,AFIRMATIVO
LORENZO, Antonio Arnaldo,Union Cívica Radical,San Luis,AFIRMATIVO
MARTINEZ, Carlos Alberto,Justicialista,Buenos Aires,AFIRMATIVO
MENEM, Eduardo Adrian,Justicialista,La Rioja,AFIRMATIVO
MOISES, Julio Carlos,Justicialista,Jujuy,AFIRMATIVO
MOLINARI ROMERO, Luis,Union Cívica Radical,Córdoba,AFIRMATIVO
OBEID, Jorge Alberto,Justicialista,Santa Fe,AFIRMATIVO
OSTROPOLSKY, Aldo Hector,Union Cívica Radical,Mendoza,AFIRMATIVO
PALOMO, Nelida Manuela,Justicialista,Santiago del Estero,AFIRMATIVO
PALOU, Marta,Justicialista,Misiones,AFIRMATIVO
PELAEZ, Victor,Union Cívica Radical,Neuquén,AFIRMATIVO
PEPE, Lorenzo Antonio,Justicialista,Buenos Aires,AFIRMATIVO
PEREZ MARTINEZ, Claudio Héctor,Union Cívica Radical,La Pampa,AFIRMATIVO
PILATI, Norma Raquel,Justicialista,Mendoza,AFIRMATIVO
PUIG de STUBRIN, Lilia,Union Cívica Radical,Santa Fe,AFIRMATIVO
QUINTELA, Ricardo Clemente,Justicialista,La Rioja,AFIRMATIVO
RIAL, Osvaldo Hugo,Justicialista,Buenos Aires,AFIRMATIVO
RIVAS, Olijela del Valle,Justicialista,Tucumán,AFIRMATIVO
RODRIGUEZ GONZALEZ, Oliva,Justicialista,Buenos Aires,AFIRMATIVO
ROMERO, Gabriel Luis,Justicialista,Neuquén,AFIRMATIVO
RUBINI, Mirta Elsa,Justicialista,Buenos Aires,AFIRMATIVO
SALIM, Fernando Omar,Justicialista,Santiago del Estero,AFIRMATIVO
SANTILLI, Diego Cesar,Justicialista,Cdad. Aut. Bs. As.,AFIRMATIVO
SAREDI, Roberto Miguel,Justicialista,Buenos Aires,AFIRMATIVO
SEBRIANO, Luis Alberto,Justicialista,Formosa,AFIRMATIVO
SNOPEK, Carlos Daniel,Justicialista,Jujuy,AFIRMATIVO
SOLMOIRAGO, Raul Jorge,Union Cívica Radical,Misiones,AFIRMATIVO
STUBRIN, Marcelo Juan Alberto,Union Cívica Radical,Cdad. Aut. Bs. As.,AFIRMATIVO
TANONI, Enrique,Justicialista,Salta,AFIRMATIVO
TULIO, Rosa Ester,Justicialista,Buenos Aires,AFIRMATIVO
UBALDINI, Saul Edolver,Justicialista,Buenos Aires,AFIRMATIVO
URTUBEY, Juan Manuel,Justicialista,Salta,AFIRMATIVO
VILLAVERDE, Jorge Antonio,Justicialista,Buenos Aires,AFIRMATIVO
VITALE, Domingo,Justicialista,Buenos Aires,AFIRMATIVO
ACEVEDO, Sergio Edgardo,Justicialista,Santa Cruz,NEGATIVO
ALCHOURON, Guillermo Eduardo,Acción por la República,Buenos Aires,NEGATIVO
ALLENDE, Alfredo Estanislao,Union Cívica Radical,Buenos Aires,NEGATIVO
ARGUL, Marta del Carmen,MO.RE.CI,Jujuy,NEGATIVO
ARNALDI, Monica Susana,Justicialista,Buenos Aires,NEGATIVO
BALADRON, Manuel Justo,Justicialista,La Pampa,NEGATIVO
BASTEIRO, Sergio Ariel,Partido Socialista,Buenos Aires,NEGATIVO
BAYONZO, Liliana Amelia,Union Cívica Radical,Chaco,NEGATIVO
BIGLIERI, María Emilia,Demócrata Progresista,Santa Fe,NEGATIVO
CAFIERO, Mario Alejandro,A.R.I,Buenos Aires,NEGATIVO
CALVO, Pedro Jorge Camilo,Union Cívica Radical,Cdad. Aut. Bs. As.,NEGATIVO
CANEVAROLO, Dante Omar,Justicialista,Santa Cruz,NEGATIVO
CAPELLO, Mario Osvaldo,Union Cívica Radical,San Juan,NEGATIVO
CAPPELLERI, Pascual,Union Cívica Radical,Buenos Aires,NEGATIVO
CASTRO, Alicia Amalia,Frente para el Cambio,Buenos Aires,NEGATIVO
CAVALLERO, Hector José,Justicialista,Santa Fe,NEGATIVO
CHIACCHIO, Nora Alicia,Justicialista,Buenos Aires,NEGATIVO
CONCA, Julio Cesar,Bloquista de San Juan,San Juan,NEGATIVO
CONTE GRAND, Gerardo Amadeo,Justicialista,Cdad. Aut. Bs. As.,NEGATIVO
DI BENEDETTO, Gustavo Daniel,Union Cívica Radical,Chubut,NEGATIVO
DI LEO, Marta Isabel,Union Cívica Radical,Buenos Aires,NEGATIVO
ESAIN, Daniel Martín,F.I.S.CA.L,Mendoza,NEGATIVO
FAYAD, Victor Manuel Federico,Union Cívica Radical,Mendoza,NEGATIVO
FERNANDEZ VALONI, José Luis,Acción por la República,Cdad. Aut. Bs. As.,NEGATIVO
FERRIN, Maria Teresa,Union Cívica Radical,Jujuy,NEGATIVO
FILOMENO, Alejandro Oscar,FREPASO,Buenos Aires,NEGATIVO
FORESI, Irma Amelia,Justicialista,Santa Fe,NEGATIVO
GARRE, Nilda Celia,FREPASO,Cdad. Aut. Bs. As.,NEGATIVO
GASTAÑAGA, Graciela Ines,Union Cívica Radical,Buenos Aires,NEGATIVO
GEIJO, Angel Oscar,Union Cívica Radical,Chaco,NEGATIVO
GIUSTINIANI, Rubén Hector,Partido Socialista,Santa Fe,NEGATIVO
GONZALEZ, María América,Frente Grande,Cdad. Aut. Bs. As.,NEGATIVO
GUTIERREZ, Gustavo Eduardo,Demócrata de Mendoza,Mendoza,NEGATIVO
GUTIERREZ, Julio César,Justicialista,Santa Fe,NEGATIVO
HERNANDEZ, Simón Fermín,Frente Cívico Social,Catamarca,NEGATIVO
IPARRAGUIRRE, Carlos Raúl,Union Cívica Radical,Santa Fe,NEGATIVO
JAROSLAVSKY, Gracia Maria,Union Cívica Radical,Entre Ríos,NEGATIVO
JARQUE, Margarita Ofelia,Frente Grande,Buenos Aires,NEGATIVO
JOBE, Miguel Antonio,Unidad Federalista,Buenos Aires,NEGATIVO
KUNEY, Mónica Adriana,Justicialista,Santa Cruz,NEGATIVO
LAFALLA, Arturo Pedro,Justicialista,Mendoza,NEGATIVO
LLANO, Gabriel Joaquín,Demócrata de Mendoza,Mendoza,NEGATIVO
LOUTAIF, Julio César,Renovador de Salta,Salta,NEGATIVO
LOZANO, Encarnación,Movimiento Popular Neuquino,Neuquén,NEGATIVO
MACALUSE, Eduardo Gabriel,A.R.I,Buenos Aires,NEGATIVO
MALDONADO, Aída Francisca,Frente Cívico Social,Catamarca,NEGATIVO
MARTINEZ, Alfredo,Union Cívica Radical,Santa Cruz,NEGATIVO
MASTROGIACOMO, Miguel Angel,Union Cívica Radical,Buenos Aires,NEGATIVO
MELILLO, Fernando Cesar,Frente Grande,Cdad. Aut. Bs. As.,NEGATIVO
MENDEZ de FERREYRA, Araceli Estela,FREPASO,Corrientes,NEGATIVO
MINGUEZ, Juan Jesus,Union Cívica Radical,San Juan,NEGATIVO
MONTEAGUDO, María Lucrecia,Partido Intransigente,Buenos Aires,NEGATIVO
MONTOYA, Fernando Ramón,Union Cívica Radical,Córdoba,NEGATIVO
NATALE, Alberto Adolfo,Demócrata Progresista,Santa Fe,NEGATIVO
OCAÑA, Maria Graciela,A.R.I,Buenos Aires,NEGATIVO
OLIVERO, Juan Carlos,Union Cívica Radical,La Pampa,NEGATIVO
OSORIO, Marta Lucia,Justicialista,La Pampa,NEGATIVO
PARENTELLA, Irma Fidela,Frente Grande,Cdad. Aut. Bs. As.,NEGATIVO
QUIROZ, Elsa Siria,A.R.I,Buenos Aires,NEGATIVO
RAPETTI, Ricardo Francisco,Justicialista,Buenos Aires,NEGATIVO
RIVAS, Jorge,Partido Socialista,Buenos Aires,NEGATIVO
RODIL, Rodolfo,FREPASO,Buenos Aires,NEGATIVO
ROMERO, Hector Ramon,Union Cívica Radical,Chaco,NEGATIVO
ROY, Irma,Justicialista,Cdad. Aut. Bs. As.,NEGATIVO
SELLARES, Francisco Nicolás,Justicialista,Santa Fe,NEGATIVO
STOLBIZER, Margarita Rosa,Union Cívica Radical,Buenos Aires,NEGATIVO
TREJO, Luis Alberto,Union Cívica Radical,Tierra del Fuego,NEGATIVO
VAZQUEZ, Ricardo Hector,Union Cívica Radical,Buenos Aires,NEGATIVO
VILLALBA, Alfredo Horacio,Frente para el Cambio,Buenos Aires,NEGATIVO
VITAR, Jose Alberto,Frente Grande,Tucumán,NEGATIVO
VIVO, Horacio,Union Cívica Radical,Cdad. Aut. Bs. As.,NEGATIVO
WALSH, Patricia,Izquierda Unida,Cdad. Aut. Bs. As.,NEGATIVO
ZUCCARDI, Cristina,FREPASO,Mendoza,NEGATIVO
CORFIELD, Guillermo Eduardo,Union Cívica Radical,Entre Ríos,ABSTENCION
INSFRAN, Miguel Angel,Union Cívica Radical,Formosa,ABSTENCION
ISLA de SARACENI, Celia Anita,Justicialista,Misiones,ABSTENCION
LYNCH, Juan Carlos,Demócrata de Capital Federal,Cdad. Aut. Bs. As.,ABSTENCION
NERI, Aldo,Union Cívica Radical,Cdad. Aut. Bs. As.,ABSTENCION
NIEVA, Alejandro Mario,Union Cívica Radical,Jujuy,ABSTENCION
PASCUAL, Jorge Raul,Union Cívica Radical,Rio Negro,ABSTENCION
PERNASETTI, Horacio Francisco,Union Cívica Radical,Catamarca,ABSTENCION
POLINO, Hector Teodoro,Partido Socialista,Cdad. Aut. Bs. As.,ABSTENCION
RODRIGUEZ, Marcela Virginia,A.R.I,Buenos Aires,ABSTENCION
SODA, Maria Nilda,Union Cívica Radical,Misiones,ABSTENCION
SOLANAS, Julio Rodolfo Francisco,Justicialista,Entre Ríos,ABSTENCION
ZOTTOS, Miguel Andrés Costas,Renovador de Salta,Salta,ABSTENCION
ABALOS, Roberto,Union Cívica Radical,Santiago del Estero,AUSENTE
ACCAVALLO, Julio Cesar,FREPASO,Rio Negro,AUSENTE
ALARCIA, Martha Carmen,Justicialista,Córdoba,AUSENTE
ALESSANDRO, Dario Pedro,FREPASO,Cdad. Aut. Bs. As.,AUSENTE
BALIAN, Alejandro,Union Cívica Radical,Córdoba,AUSENTE
BALTUZZI, Angel Enzo,Justicialista,Santa Fe,AUSENTE
BASUALDO, Roberto,Justicialista,San Juan,AUSENTE
BERTONE, Rosana Andrea,Justicialista,Tierra del Fuego,AUSENTE
BONACINA, Mario Hector,Movimiento Cívico y Social,Santiago del Estero,AUSENTE
BORDENAVE, Marcela Antonia,A.R.I,Buenos Aires,AUSENTE
BRAVO, Alfredo Pedro,Partido Socialista,Cdad. Aut. Bs. As.,AUSENTE
BRITOS, Oraldo Norvel,Justicialista,San Luis,AUSENTE
BUCCO, Jorge Luis,Justicialista,Córdoba,AUSENTE
